BABA.K,BABA
CWENa.K,CWEN.A
SJI,SJI
RLJ,RLJ
MOGa,MOG.A
EPRT.K,EPRT
MD,MD
SKY,SKY
MGY,MGY
CNK,CNK
JWa,JW.A
LBRT.K,LBRT
SIG,SIG
BDC,BDC
LAC,LAC
CDE,CDE
CANG.K,CANG
IPOF.K,IPOF
NAC,NAC
MTX,MTX
AVNS.K,AVNS
FSK,FSK
BCAT.K,BCAT
SITC.K,SITC
ADCT.K,ADCT
NEE_pq,NEE$Q
MYOV.K,MYOV
YEXT.K,YEXT
MAIN.K,MAIN
IPOE_u.K,IPOE.U
OMI,OMI
CEA,CEA
KTB,KTB
OI,OI
TCP,TCP
FIX,FIX
FBP,FBP
IBA,IBA
CMP,CMP
GB,GB
TDS,TDS
BGS,BGS
EVA,EVA
TSE,TSE
FSS,FSS
SI,SI
INT,INT
JPM_pc,JPM$C
CALX.K,CALX
UTZ,UTZ
ATGE.K,ATGE
MLI,MLI
WHD,WHD
PBH,PBH
FCPT.K,FCPT
WBT,WBT
GDV,GDV
PQG,PQG
CUB,CUB
RPAI.K,RPAI
PVG,PVG
EGO,EGO
MAC,MAC
PDM,PDM
HRI,HRI
PGRE.K,PGRE
MFGP.K,MFGP
PRO,PRO
AVTR_pa.K,AVTR$A
MTOR.K,MTOR
SJW,SJW
AZRE.K,AZRE
FTAI.K,FTAI
BDXB.K,BDXB
BUR,BUR
MTDR.K,MTDR
MWA,MWA
CVA,CVA
AVYA.K,AVYA
JPS,JPS
BCC,BCC
ADX,ADX
CTB,CTB
BIG,BIG
ENLC.K,ENLC
RIG,RIG
PTY,PTY
IPOF_u.K,IPOF.U
APTV_pa.K,APTV$A
AR,AR
BKE,BKE
MUR,MUR
OR,OR
BDN,BDN
NEE_po,NEE$O
ETY,ETY
GCP,GCP
PCGU.K,PCGU
VGR,VGR
CRC,CRC
RLGY.K,RLGY
BSM,BSM
KN,KN
CSTM.K,CSTM
GSBD.K,GSBD
JPM_pd,JPM$D
WFC_pq,WFC$Q
ABR,ABR
BTT,BTT
WRE,WRE
ITCB.K,ITCB
DEA,DEA
VSTO.K,VSTO
EPC,EPC
T_pc,T$C
ACB,ACB
DDS,DDS
CPK,CPK
FBK,FBK
SBH,SBH
EURN.K,EURN
WFC_pz,WFC$Z
PMT,PMT
ALG,ALG
JHI,JHI
SAH,SAH
MNR,MNR
HTGC.K,HTGC
ZUO,ZUO
MFA,MFA
BAK,BAK
NS,NS
ZYME.K,ZYME
PDI,PDI
LZB,LZB
XHR,XHR
USNA.K,USNA
DSL,DSL
KAI,KAI
EVT,EVT
RVT,RVT
PIPR.K,PIPR
TWO,TWO
CVI,CVI
SOLN.K,SOLN
DRH,DRH
UFS,UFS
